epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.4174,1.17227,3.18325,1.39141,0.00835,0.96243,0.37503,0.25618,0.88197,3.07975,1.05206,0.00015719,0.00015719,0.00015719
2,7.00183,1.13751,2.8035,1.27817,0.00843,0.98177,0.52484,0.34449,0.94979,2.97161,1.0436,0.000327585,0.000327585,0.000327585
3,9.08234,1.1669,2.47086,1.27484,0.00799,0.98682,0.65942,0.42372,0.99291,2.89753,1.06966,0.000496849,0.000496849,0.000496849
4,11.2264,1.18893,2.02237,1.31979,1,0.16131,0.67151,0.41471,1.12791,2.5773,1.19892,0.000664981,0.000664981,0.000664981
5,13.3219,1.20278,1.65959,1.36791,0.93728,0.47249,0.75381,0.48092,1.10453,2.0292,1.21557,0.000831981,0.000831981,0.000831981
6,15.4919,1.1734,1.4991,1.35583,0.7964,0.51264,0.68168,0.42035,1.21849,1.96577,1.32084,0.000997849,0.000997849,0.000997849
7,17.4,1.22981,1.452,1.35082,0.73328,0.51505,0.5933,0.38975,1.20506,1.79935,1.34761,0.00116259,0.00116259,0.00116259
8,19.3986,1.15829,1.36135,1.29651,0.59744,0.59111,0.64714,0.40473,1.11602,1.68938,1.25896,0.00132619,0.00132619,0.00132619
9,21.2818,1.16764,1.33085,1.2855,0.68523,0.65778,0.70876,0.43138,1.19212,1.61316,1.34163,0.00139127,0.00139127,0.00139127
10,23.1562,1.08705,1.21427,1.24966,0.64528,0.72945,0.77048,0.48784,1.15495,1.44767,1.27614,0.00138656,0.00138656,0.00138656
11,25.0309,1.15571,1.32319,1.26904,0.60738,0.7244,0.75486,0.44165,1.27154,1.69364,1.38441,0.00138184,0.00138184,0.00138184
12,26.9162,1.09781,1.23138,1.23814,0.70535,0.72479,0.77262,0.51288,1.08082,1.49294,1.24434,0.00137713,0.00137713,0.00137713
