epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2684,0.67439,3.41985,0.94826,0.43247,0.31838,0.42153,0.36162,0.54226,2.60931,0.84573,0.07025,0.00330556,0.00330556
2,19.5789,0.81114,2.18448,0.97492,0.5644,0.80188,0.76036,0.6682,0.55311,1.59641,0.85406,0.0402062,0.00659507,0.00659507
3,28.8873,0.84277,1.85747,0.98143,0.76979,0.78105,0.90051,0.72061,0.73988,1.80938,0.93617,0.0101184,0.00984059,0.00984059
4,38.1064,0.83615,1.63533,0.98818,0.80169,0.89699,0.9205,0.722,0.77229,1.51198,0.91567,0.009802,0.009802,0.009802
5,47.43,0.85008,1.42865,0.98428,0.90935,1,0.98228,0.82729,0.63868,1.08416,0.87798,0.009736,0.009736,0.009736
6,56.787,0.80937,1.31571,0.97077,0.90793,0.88344,0.95716,0.8011,0.64817,1.27443,0.90249,0.00967,0.00967,0.00967
7,66.7082,0.80017,1.26063,0.99039,0.87375,0.97989,0.97084,0.81372,0.61615,1.10842,0.8996,0.009604,0.009604,0.009604
8,76.6546,0.77532,1.17292,0.96987,0.95296,0.95179,0.9825,0.84951,0.59132,1.08991,0.88967,0.009538,0.009538,0.009538
9,86.806,0.77466,1.14438,0.97705,0.98601,0.97122,0.99441,0.84261,0.59799,0.90182,0.88064,0.009472,0.009472,0.009472
10,96.7585,0.73347,1.05067,0.96105,0.98328,0.99819,0.995,0.86151,0.54428,0.85021,0.88148,0.009406,0.009406,0.009406
11,106.483,0.73907,1.05837,0.95732,0.97667,0.98902,0.99365,0.87771,0.53906,0.7746,0.87329,0.00934,0.00934,0.00934
12,116.81,0.70238,1.01778,0.96679,0.96552,0.9857,0.98208,0.85936,0.54495,0.77763,0.89281,0.009274,0.009274,0.009274
13,128.597,0.66142,0.90232,0.94708,0.96893,0.98415,0.98534,0.87819,0.50418,0.74145,0.85919,0.009208,0.009208,0.009208
14,140.18,0.67588,0.9399,0.94507,0.99317,0.99242,0.99471,0.87867,0.51188,0.64395,0.85269,0.009142,0.009142,0.009142
15,151.975,0.65416,0.91315,0.93715,0.99312,1,0.995,0.88744,0.50718,0.61646,0.85672,0.009076,0.009076,0.009076
16,163.627,0.65485,0.8949,0.94193,0.96467,0.99733,0.995,0.86215,0.53052,0.65012,0.85025,0.00901,0.00901,0.00901
17,174.896,0.67137,0.87021,0.94648,0.99118,1,0.995,0.91285,0.46017,0.6318,0.84526,0.008944,0.008944,0.008944
18,186.294,0.62822,0.82556,0.93565,0.99266,0.99951,0.995,0.89839,0.4643,0.57423,0.84231,0.008878,0.008878,0.008878
19,198.097,0.64736,0.80698,0.93361,0.99276,1,0.995,0.89611,0.46806,0.58666,0.84078,0.008812,0.008812,0.008812
20,209.339,0.62841,0.81642,0.93656,0.97346,0.99712,0.99212,0.88365,0.50503,0.56385,0.84655,0.008746,0.008746,0.008746
21,218.804,0.62201,0.78379,0.93625,0.97654,0.9987,0.99167,0.89823,0.45834,0.5398,0.84216,0.00868,0.00868,0.00868
22,228.052,0.61408,0.77153,0.93958,0.97787,0.98721,0.99236,0.88633,0.53366,0.59322,0.87322,0.008614,0.008614,0.008614
23,237.461,0.61228,0.8004,0.94226,0.98456,0.99836,0.995,0.89981,0.47738,0.52224,0.84637,0.008548,0.008548,0.008548
24,246.805,0.62514,0.766,0.94131,0.97447,0.99149,0.99375,0.89689,0.44802,0.52684,0.84188,0.008482,0.008482,0.008482
25,256.1,0.60431,0.73684,0.92976,0.98443,0.99615,0.99471,0.88995,0.48474,0.52274,0.83769,0.008416,0.008416,0.008416
26,265.409,0.59177,0.70617,0.91475,0.99381,1,0.995,0.9078,0.44668,0.50469,0.83639,0.00835,0.00835,0.00835
27,274.596,0.56814,0.72034,0.91824,0.99396,0.99432,0.995,0.90109,0.47994,0.4927,0.84496,0.008284,0.008284,0.008284
28,283.859,0.5784,0.68966,0.91913,0.98542,1,0.995,0.91136,0.432,0.50447,0.82889,0.008218,0.008218,0.008218
29,293.22,0.58533,0.68715,0.92127,0.9885,1,0.995,0.89382,0.47796,0.50806,0.84313,0.008152,0.008152,0.008152
